user_push_tokens	5	created_at	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED	
user_search_history	1	id	varchar(36)	NO	\N	PRI		
user_search_history	2	user_id	varchar(36)	NO	\N	MUL		
user_search_history	3	word_id	varchar(36)	NO	\N	MUL		
user_search_history	4	searched_at	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED	
user_vocab_attempts	1	id	varchar(36)	NO	\N	PRI		
user_vocab_attempts	2	attempt_id	varchar(36)	NO	\N	MUL		
user_vocab_attempts	3	user_id	varchar(36)	NO	\N	MUL		
user_vocab_attempts	4	user_vocab_id	varchar(36)	NO	\N	MUL		
user_vocab_attempts	5	exercise_type	varchar(100)	NO	\N	MUL		
user_vocab_attempts	6	user_answer	text	YES	\N			
user_vocab_attempts	7	is_correct	tinyint(1)	NO	0	MUL		
user_vocab_attempts	8	replay_count	int	NO	0			
user_vocab_attempts	9	created_at	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED	
user_vocabularies	1	id	varchar(36)	NO	\N	PRI		
user_vocabularies	2	user_id	varchar(36)	NO	\N	MUL		
user_vocabularies	3	word_id	varchar(36)	NO	\N	MUL		
user_vocabularies	4	pos	varchar(50)	YES	\N			
user_vocabularies	5	definition	text	YES	\N			
user_vocabularies	6	saved_at	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED	
user_vocabularies	7	level	int	NO	1			
user_vocabularies	8	next_review_at	timestamp	YES	\N	MUL		
user_vocabularies	9	created_at	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED	
user_vocabularies	10	updated_at	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED on update CURRENT_TIMESTAMP	
word_category	1	id	varchar(36)	NO	\N	PRI		
word_category	2	word_id	varchar(36)	NO	\N	MUL		
word_category	3	category_id	varchar(36)	NO	\N	MUL		
word_category	4	created_at	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED	
word_category	5	updated_at	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED on update CURRENT_TIMESTAMP	
word_example_localizations	1	id	varchar(36)	NO	\N	PRI		
word_example_localizations	2	example_id	varchar(36)	NO	\N	MUL		
word_example_localizations	3	word_id	varchar(36)	NO	\N	MUL		
word_example_localizations	4	sense_id	varchar(36)	YES	\N	MUL		
word_example_localizations	5	lang_code	varchar(10)	NO	\N	MUL		
word_example_localizations	6	translated_text	text	YES	\N			
word_example_localizations	7	review_status	tinyint	NO	0	MUL		
word_example_localizations	8	created_at	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED	
word_example_localizations	9	updated_at	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED on update CURRENT_TIMESTAMP	
word_examples	1	id	varchar(36)	NO	\N	PRI		
word_examples	2	word_id	varchar(36)	NO	\N	MUL		
word_examples	3	sense_id	varchar(36)	YES	\N	MUL		
word_examples	4	text	text	YES	\N			
word_examples	5	example_type	varchar(50)	YES	\N			
word_examples	6	source_ref	text	YES	\N			
word_examples	7	created_at	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED	
word_examples	8	updated_at	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED on update CURRENT_TIMESTAMP	
word_forms	1	id	varchar(36)	NO	\N	PRI		
word_forms	2	word_id	varchar(36)	NO	\N	MUL		
word_forms	3	form	text	NO	\N			
